Class_0,Class_1,Class_2,Class_3,Class_4,Class_5
0.14424177539832572,0.17339862210890483,0.21677089783962972,0.2266316978637547,0.05466169363081992,0.18429531315856515
0.16598146583165918,0.2080487266467148,0.2284591271031879,0.20857253645704807,0.05438682334126629,0.13455132062012376
0.17212059022407733,0.23268775919433415,0.171304446320248,0.15244135249472374,0.12370255994195191,0.1477432918246649
0.23628238392632758,0.23455245493976526,0.18704122096920536,0.1283682467997557,0.11842079426848848,0.09533489909645765
0.1507866292874115,0.2531153665005052,0.17941354597802955,0.1480961604464664,0.10971052481089077,0.15887777297669656
0.16950301959590164,0.16645109922063112,0.22210815250226873,0.21411861550490674,0.04316471093292264,0.18465440224336924
0.19359825028237576,0.16873577049220823,0.20262186537398033,0.22206700656348724,0.06265767222144034,0.15031943506650813
0.19203402162605654,0.22407393421029603,0.21533312420919437,0.1380207576001462,0.1295627585028257,0.10097540385148125
0.21818914658705482,0.24852734444967411,0.16877067589101422,0.13465580729961257,0.09990183044289763,0.12995519532974661
0.19083325654512961,0.14422934314245184,0.20051936972018158,0.22874175836683433,0.06821500948831719,0.16746126273708548
0.1643755739109996,0.15576771773973086,0.19746702868377558,0.19077954767635902,0.07833556064858373,0.21327457134055117
0.17097325146843495,0.19939841673260156,0.20075015280651692,0.17165215352956822,0.10313404388062072,0.15409198158225745
0.16266069759324853,0.3070092321730976,0.12892190085528252,0.16784539562961281,0.101058013817311,0.13250475993144756
0.14490626960669029,0.16603526994447282,0.21284922134864134,0.21716191332378995,0.074283273574086,0.1847640522023196
0.16110794265080775,0.2629444414422056,0.18598540750881914,0.15776021199589166,0.07480290867775735,0.15739908772451844
0.12016028913303019,0.1327327210092847,0.25836208626059504,0.23303456123561106,0.044891319907000335,0.21081902245447875
0.1412421578911809,0.19241731018914437,0.20003801501226703,0.17157576563397745,0.1007656818455552,0.193961069427875
0.1253390701427192,0.14680626778329564,0.2796706271229632,0.22713891328854446,0.05516493817073627,0.16588018349174127
0.1352588045312246,0.2059306606777571,0.2013768361851484,0.21449561479368445,0.07122410532714774,0.17171397848503783
0.15509822488014807,0.18262878637538843,0.20932553548143187,0.20530687917689033,0.048593848977797616,0.19904672510834365
0.16424276936855442,0.18954605570083216,0.190792071298652,0.17112199043749143,0.12230971202194103,0.16198740117252894
0.13268212375179828,0.18497028985510738,0.19764277269053077,0.17019180587781985,0.10561907611635285,0.20889393170839088
0.13575247942133467,0.15935093186791177,0.18233664301281788,0.25264792140725395,0.05913204177179582,0.21077998251888597
0.1156571742046055,0.13485177100896187,0.20064972589294605,0.2877067279962326,0.04032336013969362,0.2208112407575603
0.18907752626133745,0.20128723827809758,0.2181677505568875,0.15325979483035537,0.11914826404506054,0.11905942602826156
0.12320010383146701,0.1632489876709497,0.16037328595517486,0.23995487975677493,0.05098237072117508,0.2622403720644584
0.1761784092219448,0.2547444230183782,0.17561156675080036,0.14865611573888848,0.09273796640731673,0.15207151886267148
0.21883194290338104,0.20522309178203563,0.22702751669881657,0.1604211040181142,0.07925681466240553,0.10923952993524698
0.22619563948029267,0.23272896691492329,0.23443467490903688,0.11696743066049357,0.10866813252561437,0.08100515550963922
0.1099928807570652,0.12253978765832593,0.22625472868087948,0.28382888438414816,0.048958467454280535,0.20842525106530074
0.12399332695718526,0.23908164054171713,0.1540774590316657,0.191572985984093,0.08759836775244957,0.20367621973288924
0.21995860213163537,0.1953585518102198,0.1717599391448727,0.1498643946091014,0.11396945252627028,0.14908905977790046
0.1602051368899069,0.29540334341519153,0.1568798253712056,0.13149746754584224,0.11470602791082676,0.14130819886702706
0.1500341791392841,0.13820396497792747,0.23869772274292186,0.21854232199945828,0.04948768094778857,0.20503413019261973
0.1077396337823451,0.17523307230221025,0.1851080057051553,0.2627009606546634,0.040801431636251884,0.22841689591937409
0.17044690681359678,0.20013142403447215,0.21113551372900985,0.17494514538632658,0.1049004873648177,0.1384405226717769
0.21126128890952853,0.22699568961598357,0.2082872409963127,0.15008969948686124,0.09230025060076393,0.11106583039055004
0.2163582778810311,0.19202196500394964,0.21148569235327358,0.1353175359304277,0.12471200162554077,0.12010452720577716
0.20885187758883156,0.19383320151241723,0.24328345456490807,0.15702972052970804,0.09601023494750968,0.10099151085662547
0.15864917620544888,0.13696143719144097,0.27172315961157484,0.23473385660755602,0.04377830714138553,0.15415406324259376
0.17577352723104678,0.2397400257730327,0.1742507006104456,0.1596175283470559,0.10162937223467267,0.14898884580374647
0.22122872821378808,0.19446782770808016,0.18548289642022184,0.14290073761894145,0.1353806497932888,0.12053916024567965
0.22095037985708238,0.18564801753067411,0.18478464119719692,0.19227438716705933,0.08228174018630016,0.13406083406168715
0.19612838829173507,0.19970608194988437,0.20751977098461907,0.15674659070453814,0.10711113892188374,0.13278802914733961
0.17008733760072992,0.18738968090036634,0.2041996127655904,0.1893859459282794,0.0770837539974607,0.1718536688075732
0.1521295622303072,0.17323513297049006,0.27814438503925965,0.23245063468022314,0.042815379185851876,0.12122490589386817
0.19143363154457826,0.2245803456549641,0.17151929076703987,0.141891809181994,0.10844456418980386,0.16213035866161987
0.16028953215173913,0.14553380725443082,0.2395708280317842,0.21981798206382536,0.04455799696146617,0.1902298535367542
